value,label
1035,PSMD4
1036,ZNF687
1037,PI4KB
1038,RFX5
1039,SELENBP1
1040,PSMB4
1041,POGZ
1042,CGN
1043,TUFT1
1044,SNX27
1045,CELF3
1046,RIIAD1
1047,OAZ3
1048,TDRKH
1049,LINGO4
1050,RORC
1051,C2CD4D
1052,THEM5
1053,THEM4
1054,S100A10
1055,S100A11
1056,TCHHL1
1057,TCHH
1058,RPTN
1059,HRNR
1060,FLG
1061,FLG2
1062,CRNN
1063,LCE5A
1064,CRCT1
1065,LCE3E
1066,LCE3D
1067,LCE3C
1068,LCE3B
1069,LCE2C
1070,LCE2B
1071,LCE2A
1072,LCE4A
1073,C1orf68
1074,KPRP
1075,LCE1D
1076,LCE1C
1077,LCE1B
1078,LCE1A
1079,LCE6A
1080,AL162596.1
1081,SMCP
1082,IVL
1083,SPRR5
1084,SPRR4
1085,SPRR3
1086,SPRR1B
1087,SPRR2D
1088,SPRR2A
1089,SPRR2B
1090,SPRR2F
1091,SPRR2G
1092,LELP1
1093,PRR9
1094,LOR
1095,PGLYRP3
1096,PGLYRP4
1097,S100A9
1098,S100A12
1099,S100A8
1100,S100A7A
1101,S100A7L2
1102,S100A7
1103,S100A6
1104,S100A5
1105,S100A4
1106,S100A3
1107,S100A2
1108,S100A16
1109,S100A14
1110,S100A13
1111,S100A1
1112,CHTOP
1113,SNAPIN
1114,ILF2
1115,NPR1
1116,INTS3
1117,SLC27A3
1118,GATAD2B
1119,DENND4B
1120,CRTC2
1121,SLC39A1
1122,CREB3L4
1123,JTB
1124,RAB13
1125,NUP210L
1126,C1orf189
1127,C1orf43
1128,UBAP2L
1129,HAX1
1130,AQP10
1131,ATP8B2
1132,IL6R
1133,SHE
1134,TDRD10
1135,UBE2Q1
1136,CHRNB2
1137,ADAR
1138,KCNN3
1139,PMVK
1140,PBXIP1
1141,PYGO2
1142,SHC1
1143,FLAD1
1144,LENEP
1145,ZBTB7B
1146,DCST2
1147,DCST1
1148,ADAM15
1149,EFNA4
1150,EFNA3
1151,EFNA1
1152,SLC50A1
1153,DPM3
1154,KRTCAP2
1155,TRIM46
1156,MUC1
1157,THBS3
1158,MTX1
1159,GBA
1160,FAM189B
1161,SCAMP3
1162,CLK2
1163,HCN3
1164,PKLR
1165,FDPS
1166,RUSC1
1167,ASH1L
1168,MSTO1
1169,YY1AP1
1170,DAP3
1171,GON4L
1172,SYT11
1173,RIT1
1174,KHDC4
1175,RXFP4
1176,ARHGEF2
1177,SSR2
1178,UBQLN4
1179,LAMTOR2
1180,RAB25
1181,MEX3A
1182,LMNA
1183,SEMA4A
1184,SLC25A44
1185,PMF1
1186,BGLAP
1187,PAQR6
1188,SMG5
1189,TMEM79
1190,GLMP
1191,VHLL
1192,CCT3
1193,TSACC
1194,RHBG
1195,C1orf61
1196,IQGAP3
1197,TTC24
1198,NAXE
1199,GPATCH4
1200,HAPLN2
1201,BCAN
1202,NES
1203,CRABP2
1204,ISG20L2
1205,RRNAD1
1206,HDGF
1207,PRCC
1208,SH2D2A
1209,NTRK1
1210,INSRR
1211,PEAR1
1212,LRRC71
1213,ARHGEF11
1214,ETV3L
1215,ETV3
1216,FCRL5
1217,FCRL4
1218,FCRL3
1219,FCRL2
1220,FCRL1
1221,CD5L
1222,KIRREL1
1223,CD1D
1224,CD1A
1225,CD1C
1226,CD1B
1227,CD1E
1228,OR10T2
1229,OR10K2
1230,OR10K1
1231,OR10R2
1232,OR6Y1
1233,OR6P1
1234,OR10X1
1235,OR10Z1
1236,SPTA1
1237,OR6K2
1238,OR6K3
1239,OR6N1
1240,OR6K6
1241,OR6N2
1242,MNDA
1243,PYHIN1
1244,IFI16
1245,AIM2
1246,CADM3
1247,ACKR1
1248,FCER1A
1249,OR10J1
1250,OR10J5
1251,APCS
1252,CRP
1253,DUSP23
1254,FCRL6
1255,SLAMF8
1256,AL590560.2
1257,CFAP45
1258,TAGLN2
1259,IGSF9
1260,SLAMF9
1261,KCNJ10
1262,PIGM
1263,KCNJ9
1264,IGSF8
1265,ATP1A2
1266,ATP1A4
1267,CASQ1
1268,PEA15
1269,DCAF8
1270,PEX19
1271,COPA
1272,NCSTN
1273,NHLH1
1274,VANGL2
1275,SLAMF6
1276,CD84
1277,SLAMF1
1278,CD48
1279,SLAMF7
1280,LY9
1281,CD244
1282,ITLN1
1283,ITLN2
1284,F11R
1285,TSTD1
1286,USF1
1287,ARHGAP30
1288,NECTIN4
1289,KLHDC9
1290,PFDN2
1291,NIT1
1292,DEDD
1293,UFC1
1294,USP21
1295,PPOX
1296,B4GALT3
1297,ADAMTS4
1298,NDUFS2
1299,FCER1G
1300,APOA2
1301,TOMM40L
1302,NR1I3
1303,PCP4L1
1304,MPZ
1305,CFAP126
1306,FCGR2A
1307,HSPA6
1308,FCGR3A
1309,FCGR3B
1310,FCGR2B
1311,FCRLA
1312,FCRLB
1313,DUSP12
1314,ATF6
1315,OLFML2B
1316,NOS1AP
1317,SPATA46
1318,C1orf226
1319,SH2D1B
1320,UHMK1
1321,UAP1
1322,DDR2
1323,CCDC190
1324,RGS4
1325,RGS5
1326,NUF2
1327,PBX1
1328,LMX1A
1329,RXRG
1330,LRRC52
1331,MGST3
1332,ALDH9A1
1333,TMCO1
1334,UCK2
1335,FAM78B
1336,POGK
1337,TADA1
1338,ILDR2
1339,MAEL
1340,GPA33
1341,DUSP27
1342,POU2F1
1343,CD247
1344,CREG1
1345,RCSD1
1346,ADCY10
1347,MPC2
1348,DCAF6
1349,GPR161
1350,TIPRL
1351,SFT2D2
1352,TBX19
1353,XCL1
1354,DPT
1355,ATP1B1
1356,NME7
1357,BLZF1
1358,CCDC181
1359,SLC19A2
1360,F5
1361,SELP
1362,C1orf112
1363,SELL
1364,SELE
1365,METTL18
1366,SCYL3
1367,KIFAP3
1368,METTL11B
1369,GORAB
1370,PRRX1
1371,MROH9
1372,FMO3
1373,FMO2
1374,FMO1
1375,FMO4
1376,PRRC2C
1377,MYOCOS
1378,MYOC
1379,VAMP4
1380,EEF1AKNMT
1381,DNM3
1382,PIGC
1383,C1orf105
1384,SUCO
1385,FASLG
1386,TNFSF18
1387,TNFSF4
1388,PRDX6
1389,SLC9C2
1390,ANKRD45
1391,TEX50
1392,KLHL20
1393,CENPL
1394,DARS2
1395,ZBTB37
1396,SERPINC1
1397,RC3H1
1398,RABGAP1L
1399,GPR52
1400,TNN
1401,KIAA0040
1402,TNR
1403,PAPPA2
1404,ASTN1
1405,BRINP2
1406,SEC16B
1407,RASAL2
1408,CLEC20A
1409,TEX35
1410,RALGPS2
1411,ANGPTL1
1412,FAM20B
1413,TOR3A
1414,ABL2
1415,SOAT1
1416,AXDND1
1417,NPHS2
1418,TDRD5
1419,FAM163A
1420,TOR1AIP2
1421,TOR1AIP1
1422,CEP350
1423,QSOX1
1424,LHX4
1425,ACBD6
1426,XPR1
1427,KIAA1614
1428,STX6
1429,MR1
1430,IER5
1431,CACNA1E
1432,ZNF648
1433,GLUL
1434,TEDDM1
1435,RGSL1
1436,RNASEL
1437,RGS16
1438,RGS8
1439,NPL
1440,DHX9
1441,SHCBP1L
1442,LAMC1
1443,LAMC2
1444,NMNAT2
1445,SMG7
1446,NCF2
1447,ARPC5
1448,RGL1
1449,APOBEC4
